FeatureCode,DateCode,Measurement,Units,Value,Age,Sex,Migration Source,Migration Type
S92000003,2002,Count,People,70,48 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,63,47 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,256,33 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,280,32 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,162,38 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,172,37 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,220,35 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,25,67 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,31,66 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,44,52 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,177,36 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,251,34 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,47,55 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,-9,10 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-1,8 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-2,11 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,39,4 years,Female,To-from Overseas,Net
S92000003,2018,Count,People,23,68 years,Female,To-from Overseas,In
S92000003,2002,Count,People,5,9 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,3,7 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,150,39 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,135,40 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,29,64 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,24,2 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,28,1 year,Female,To-from Overseas,Net
S92000003,2002,Count,People,127,41 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,58,50 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,99,43 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,85,13 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,82,45 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,64,49 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,81,46 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,46,51 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,263,20 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,82,14 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,409,29 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,132,17 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,68,15 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,376,21 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,30,63 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,27,61 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,28,65 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,47,54 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,49,53 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,37,56 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,106,42 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,17,69 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,82,44 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,15,70 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,18,68 years,Female,To-from Overseas,Out
S92000003,2002,Count,People,34,62 years,Female,To-from Overseas,Out
S92000003,2007,Count,People,90,50 years,Female,To-from Overseas,In
S92000003,2007,Count,People,102,49 years,Female,To-from Overseas,In
S92000003,2007,Count,People,7,79 years,Female,To-from Overseas,In
S92000003,2007,Count,People,7,78 years,Female,To-from Overseas,In
S92000003,2007,Count,People,37,62 years,Female,To-from Overseas,In
S92000003,2007,Count,People,93,47 years,Female,To-from Overseas,In
S92000003,2007,Count,People,34,61 years,Female,To-from Overseas,In
S92000003,2007,Count,People,63,52 years,Female,To-from Overseas,In
S92000003,2007,Count,People,59,53 years,Female,To-from Overseas,In
S92000003,2008,Count,People,21486,All,Female,To-from Overseas,In
S92000003,2007,Count,People,47,55 years,Female,To-from Overseas,In
S92000003,2007,Count,People,9,77 years,Female,To-from Overseas,In
S92000003,2007,Count,People,58,54 years,Female,To-from Overseas,In
S92000003,2007,Count,People,11,73 years,Female,To-from Overseas,In
S92000003,2007,Count,People,3,82 years,Female,To-from Overseas,In
S92000003,2007,Count,People,9,74 years,Female,To-from Overseas,In
S92000003,2007,Count,People,16,71 years,Female,To-from Overseas,In
S92000003,2007,Count,People,10,75 years,Female,To-from Overseas,In
S92000003,2007,Count,People,7,76 years,Female,To-from Overseas,In
S92000003,2007,Count,People,4,83 years,Female,To-from Overseas,In
S92000003,2007,Count,People,80,51 years,Female,To-from Overseas,In
S92000003,2007,Count,People,20,66 years,Female,To-from Overseas,In
S92000003,2007,Count,People,91,48 years,Female,To-from Overseas,In
S92000003,2007,Count,People,17,68 years,Female,To-from Overseas,In
S92000003,2007,Count,People,14,70 years,Female,To-from Overseas,In
S92000003,2007,Count,People,22,67 years,Female,To-from Overseas,In
S92000003,2008,Count,People,204,5 years,Female,To-from Overseas,In
S92000003,2008,Count,People,171,6 years,Female,To-from Overseas,In
S92000003,2008,Count,People,149,11 years,Female,To-from Overseas,In
S92000003,2008,Count,People,127,14 years,Female,To-from Overseas,In
S92000003,2008,Count,People,141,9 years,Female,To-from Overseas,In
S92000003,2008,Count,People,272,2 years,Female,To-from Overseas,In
S92000003,2008,Count,People,163,7 years,Female,To-from Overseas,In
S92000003,2008,Count,People,134,13 years,Female,To-from Overseas,In
S92000003,2008,Count,People,109,12 years,Female,To-from Overseas,In
S92000003,2008,Count,People,386,18 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1317,25 years,Female,To-from Overseas,In
S92000003,2008,Count,People,150,10 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1391,24 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1231,22 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1221,21 years,Female,To-from Overseas,In
S92000003,2008,Count,People,721,19 years,Female,To-from Overseas,In
S92000003,2008,Count,People,947,27 years,Female,To-from Overseas,In
S92000003,2008,Count,People,990,20 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1083,26 years,Female,To-from Overseas,In
S92000003,2008,Count,People,258,3 years,Female,To-from Overseas,In
S92000003,2008,Count,People,316,1 year,Female,To-from Overseas,In
S92000003,2008,Count,People,243,4 years,Female,To-from Overseas,In
S92000003,2008,Count,People,258,0 years,Female,To-from Overseas,In
S92000003,2008,Count,People,1399,23 years,Female,To-from Overseas,In
S92000003,2008,Count,People,146,8 years,Female,To-from Overseas,In
S92000003,2009,Count,People,54,37 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,8,63 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,7,66 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,78,38 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,-6,62 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,28,56 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,2,60 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,2,64 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,-3,61 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,-2,68 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,5,65 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,25,53 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,-3,67 years,Female,To-from Overseas,Net
S92000003,2003,Count,People,-8,80 years,Female,To-from Overseas,Net
S92000003,2003,Count,People,-10,79 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,8,59 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,24,51 years,Female,To-from Overseas,Net
S92000003,2003,Count,People,-3,85 years,Female,To-from Overseas,Net
S92000003,2003,Count,People,-6,77 years,Female,To-from Overseas,Net
S92000003,2003,Count,People,-6,84 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,11,57 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,20,50 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,20,55 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,21,54 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,2,58 years,Female,To-from Overseas,Net
S92000003,2009,Count,People,22,52 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,20,65 years,Female,To-from Overseas,In
S92000003,2007,Count,People,33,64 years,Female,To-from Overseas,In
S92000003,2007,Count,People,40,60 years,Female,To-from Overseas,In
S92000003,2007,Count,People,30,63 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-31,35 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-22,48 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,46,59 years,Female,To-from Overseas,In
S92000003,2007,Count,People,31,69 years,Female,To-from Overseas,In
S92000003,2007,Count,People,5,80 years,Female,To-from Overseas,In
S92000003,2007,Count,People,3,81 years,Female,To-from Overseas,In
S92000003,2007,Count,People,55,57 years,Female,To-from Overseas,In
S92000003,2007,Count,People,43,58 years,Female,To-from Overseas,In
S92000003,2007,Count,People,56,56 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-14,45 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-16,50 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,4,44 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-11,43 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-21,49 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-18,46 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-56,34 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,1,33 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-4,47 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,9,32 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-38,42 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-8,36 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,153,43 years,Female,To-from Overseas,In
S92000003,2007,Count,People,126,44 years,Female,To-from Overseas,In
S92000003,2007,Count,People,468,32 years,Female,To-from Overseas,In
S92000003,2007,Count,People,510,31 years,Female,To-from Overseas,In
S92000003,2007,Count,People,609,30 years,Female,To-from Overseas,In
S92000003,2007,Count,People,369,33 years,Female,To-from Overseas,In
S92000003,2007,Count,People,711,29 years,Female,To-from Overseas,In
S92000003,2002,Count,People,68,45 years,Female,To-from Overseas,In
S92000003,2007,Count,People,339,34 years,Female,To-from Overseas,In
S92000003,2002,Count,People,42,50 years,Female,To-from Overseas,In
S92000003,2007,Count,People,266,36 years,Female,To-from Overseas,In
S92000003,2007,Count,People,209,37 years,Female,To-from Overseas,In
S92000003,2007,Count,People,307,35 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1542,23 years,Female,To-from Overseas,In
S92000003,2007,Count,People,13,72 years,Female,To-from Overseas,In
S92000003,2007,Count,People,122,13 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1187,21 years,Female,To-from Overseas,In
S92000003,2007,Count,People,959,20 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1030,27 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1287,22 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1300,25 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1092,26 years,Female,To-from Overseas,In
S92000003,2007,Count,People,1446,24 years,Female,To-from Overseas,In
S92000003,2007,Count,People,137,12 years,Female,To-from Overseas,In
S92000003,2007,Count,People,124,14 years,Female,To-from Overseas,In
S92000003,2007,Count,People,806,28 years,Female,To-from Overseas,In
S92000003,2002,Count,People,35,56 years,Female,To-from Overseas,In
S92000003,2002,Count,People,37,60 years,Female,To-from Overseas,In
S92000003,2002,Count,People,31,53 years,Female,To-from Overseas,In
S92000003,2002,Count,People,22,54 years,Female,To-from Overseas,In
S92000003,2002,Count,People,24,59 years,Female,To-from Overseas,In
S92000003,2002,Count,People,16,68 years,Female,To-from Overseas,In
S92000003,2002,Count,People,28,57 years,Female,To-from Overseas,In
S92000003,2002,Count,People,48,48 years,Female,To-from Overseas,In
S92000003,2002,Count,People,257,33 years,Female,To-from Overseas,In
S92000003,2002,Count,People,59,47 years,Female,To-from Overseas,In
S92000003,2002,Count,People,145,37 years,Female,To-from Overseas,In
S92000003,2002,Count,People,36,52 years,Female,To-from Overseas,In
S92000003,2002,Count,People,195,34 years,Female,To-from Overseas,In
S92000003,2002,Count,People,88,43 years,Female,To-from Overseas,In
S92000003,2002,Count,People,86,44 years,Female,To-from Overseas,In
S92000003,2002,Count,People,68,42 years,Female,To-from Overseas,In
S92000003,2002,Count,People,43,49 years,Female,To-from Overseas,In
S92000003,2002,Count,People,44,51 years,Female,To-from Overseas,In
S92000003,2002,Count,People,63,46 years,Female,To-from Overseas,In
S92000003,2002,Count,People,25,61 years,Female,To-from Overseas,In
S92000003,2002,Count,People,32,62 years,Female,To-from Overseas,In
S92000003,2002,Count,People,10,69 years,Female,To-from Overseas,In
S92000003,2002,Count,People,50,55 years,Female,To-from Overseas,In
S92000003,2002,Count,People,19,66 years,Female,To-from Overseas,In
S92000003,2002,Count,People,15,67 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-24,38 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-9,58 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,2,64 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-25,39 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-2,56 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,1,6 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,6,60 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-6,65 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-27,37 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-7,69 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-35,41 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-9,63 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-29,40 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-2,51 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-18,53 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-8,52 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-6,59 years,Female,To-from Overseas,Net
S92000003,2008,Count,People,138,16 years,Female,To-from Overseas,In
S92000003,2008,Count,People,160,17 years,Female,To-from Overseas,In
S92000003,2008,Count,People,124,15 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-17,57 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,12,5 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,32,3 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-12,66 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-25,54 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,3,55 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,121,11 years,Female,To-from Overseas,In
S92000003,2007,Count,People,182,17 years,Female,To-from Overseas,In
S92000003,2007,Count,People,113,46 years,Female,To-from Overseas,In
S92000003,2007,Count,People,186,39 years,Female,To-from Overseas,In
S92000003,2007,Count,People,132,15 years,Female,To-from Overseas,In
S92000003,2007,Count,People,157,16 years,Female,To-from Overseas,In
S92000003,2007,Count,People,155,10 years,Female,To-from Overseas,In
S92000003,2007,Count,People,143,42 years,Female,To-from Overseas,In
S92000003,2007,Count,People,177,38 years,Female,To-from Overseas,In
S92000003,2007,Count,People,782,19 years,Female,To-from Overseas,In
S92000003,2007,Count,People,154,40 years,Female,To-from Overseas,In
S92000003,2007,Count,People,106,45 years,Female,To-from Overseas,In
S92000003,2007,Count,People,139,41 years,Female,To-from Overseas,In
S92000003,2007,Count,People,0,88 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-2,68 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,5,85 years,Female,To-from Overseas,In
S92000003,2002,Count,People,-2,62 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-10,67 years,Female,To-from Overseas,Net
S92000003,2002,Count,People,-2,61 years,Female,To-from Overseas,Net
S92000003,2007,Count,People,4,89 years,Female,To-from Overseas,In
S92000003,2007,Count,People,2,90 years,Female,To-from Overseas,In
S92000003,2007,Count,People,308,18 years,Female,To-from Overseas,In
S92000003,2007,Count,People,3,86 years,Female,To-from Overseas,In
S92000003,2007,Count,People,3,84 years,Female,To-from Overseas,In
S92000003,2007,Count,People,2,87 years,Female,To-from Overseas,In
S92000003,2003,Count,People,88,9 years,Female,To-from Overseas,In
S92000003,2003,Count,People,98,8 years,Female,To-from Overseas,In
S92000003,2003,Count,People,78,10 years,Female,To-from Overseas,In
S92000003,2003,Count,People,96,6 years,Female,To-from Overseas,In
S92000003,2003,Count,People,84,14 years,Female,To-from Overseas,In
S92000003,2003,Count,People,106,7 years,Female,To-from Overseas,In
S92000003,2003,Count,People,66,13 years,Female,To-from Overseas,In
S92000003,2003,Count,People,114,0 years,Female,To-from Overseas,In
S92000003,2003,Count,People,12177,All,Female,To-from Overseas,In
S92000003,2003,Count,People,115,5 years,Female,To-from Overseas,In
S92000003,2003,Count,People,74,12 years,Female,To-from Overseas,In
S92000003,2003,Count,People,160,1 year,Female,To-from Overseas,In
S92000003,2003,Count,People,75,11 years,Female,To-from Overseas,In
S92000003,2003,Count,People,38,54 years,Female,To-from Overseas,In
S92000003,2003,Count,People,11,69 years,Female,To-from Overseas,In
S92000003,2003,Count,People,27,57 years,Female,To-from Overseas,In
S92000003,2003,Count,People,12,66 years,Female,To-from Overseas,In
S92000003,2003,Count,People,38,55 years,Female,To-from Overseas,In
S92000003,2003,Count,People,35,51 years,Female,To-from Overseas,In
S92000003,2003,Count,People,16,65 years,Female,To-from Overseas,In
S92000003,2003,Count,People,28,56 years,Female,To-from Overseas,In
S92000003,2003,Count,People,36,52 years,Female,To-from Overseas,In
S92000003,2003,Count,People,27,59 years,Female,To-from Overseas,In
S92000003,2003,Count,People,6,82 years,Female,To-from Overseas,In
S92000003,2003,Count,People,4,81 years,Female,To-from Overseas,In
S92000003,2003,Count,People,24,58 years,Female,To-from Overseas,In
S92000003,2003,Count,People,37,50 years,Female,To-from Overseas,In
S92000003,2003,Count,People,82,43 years,Female,To-from Overseas,In
S92000003,2003,Count,People,63,44 years,Female,To-from Overseas,In
S92000003,2003,Count,People,52,49 years,Female,To-from Overseas,In
S92000003,2003,Count,People,791,22 years,Female,To-from Overseas,In
S92000003,2003,Count,People,86,15 years,Female,To-from Overseas,In
S92000003,2003,Count,People,131,16 years,Female,To-from Overseas,In
S92000003,2003,Count,People,650,25 years,Female,To-from Overseas,In
S92000003,2003,Count,People,415,28 years,Female,To-from Overseas,In
S92000003,2003,Count,People,727,24 years,Female,To-from Overseas,In
S92000003,2003,Count,People,72,42 years,Female,To-from Overseas,In
S92000003,2003,Count,People,61,45 years,Female,To-from Overseas,In
S92000003,2003,Count,People,51,46 years,Female,To-from Overseas,In
S92000003,2018,Count,People,133,38 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,82,7 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,72,8 years,Female,To-from Overseas,Out
S92000003,2003,Count,People,143,3 years,Female,To-from Overseas,In
S92000003,2003,Count,People,170,4 years,Female,To-from Overseas,In
S92000003,2003,Count,People,169,2 years,Female,To-from Overseas,In
S92000003,2003,Count,People,862,21 years,Female,To-from Overseas,In
S92000003,2003,Count,People,847,23 years,Female,To-from Overseas,In
S92000003,2003,Count,People,558,20 years,Female,To-from Overseas,In
S92000003,2018,Count,People,115,39 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,86,6 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,72,9 years,Female,To-from Overseas,Out
S92000003,2004,Count,People,2,84 years,Female,To-from Overseas,In
S92000003,2004,Count,People,7,77 years,Female,To-from Overseas,In
S92000003,2004,Count,People,14,69 years,Female,To-from Overseas,In
S92000003,2004,Count,People,3,85 years,Female,To-from Overseas,In
S92000003,2004,Count,People,6,82 years,Female,To-from Overseas,In
S92000003,2004,Count,People,5,83 years,Female,To-from Overseas,In
S92000003,2004,Count,People,12,78 years,Female,To-from Overseas,In
S92000003,2004,Count,People,20,68 years,Female,To-from Overseas,In
S92000003,2004,Count,People,13,71 years,Female,To-from Overseas,In
S92000003,2004,Count,People,17,72 years,Female,To-from Overseas,In
S92000003,2004,Count,People,7,75 years,Female,To-from Overseas,In
S92000003,2004,Count,People,6,76 years,Female,To-from Overseas,In
S92000003,2004,Count,People,16,70 years,Female,To-from Overseas,In
S92000003,2004,Count,People,24,63 years,Female,To-from Overseas,In
S92000003,2004,Count,People,37,62 years,Female,To-from Overseas,In
S92000003,2004,Count,People,112,40 years,Female,To-from Overseas,In
S92000003,2004,Count,People,43,61 years,Female,To-from Overseas,In
S92000003,2004,Count,People,243,34 years,Female,To-from Overseas,In
S92000003,2004,Count,People,62,46 years,Female,To-from Overseas,In
S92000003,2004,Count,People,198,35 years,Female,To-from Overseas,In
S92000003,2004,Count,People,487,19 years,Female,To-from Overseas,In
S92000003,2004,Count,People,661,20 years,Female,To-from Overseas,In
S92000003,2004,Count,People,2,86 years,Female,To-from Overseas,In
S92000003,2004,Count,People,138,38 years,Female,To-from Overseas,In
S92000003,2004,Count,People,132,39 years,Female,To-from Overseas,In
S92000003,2004,Count,People,156,37 years,Female,To-from Overseas,In
S92000003,2003,Count,People,5,80 years,Female,To-from Overseas,In
S92000003,2003,Count,People,2,86 years,Female,To-from Overseas,In
S92000003,2003,Count,People,7,78 years,Female,To-from Overseas,In
S92000003,2003,Count,People,7,71 years,Female,To-from Overseas,In
S92000003,2003,Count,People,1,79 years,Female,To-from Overseas,In
S92000003,2003,Count,People,1,84 years,Female,To-from Overseas,In
S92000003,2003,Count,People,2,83 years,Female,To-from Overseas,In
S92000003,2003,Count,People,10,74 years,Female,To-from Overseas,In
S92000003,2003,Count,People,8,70 years,Female,To-from Overseas,In
S92000003,2003,Count,People,42,53 years,Female,To-from Overseas,In
S92000003,2003,Count,People,8,72 years,Female,To-from Overseas,In
S92000003,2003,Count,People,4,77 years,Female,To-from Overseas,In
S92000003,2003,Count,People,9,73 years,Female,To-from Overseas,In
S92000003,2003,Count,People,12,67 years,Female,To-from Overseas,In
S92000003,2003,Count,People,25,61 years,Female,To-from Overseas,In
S92000003,2003,Count,People,12,68 years,Female,To-from Overseas,In
S92000003,2004,Count,People,2,81 years,Female,To-from Overseas,In
S92000003,2004,Count,People,8,80 years,Female,To-from Overseas,In
S92000003,2004,Count,People,10,79 years,Female,To-from Overseas,In
S92000003,2003,Count,People,1,87 years,Female,To-from Overseas,In
S92000003,2003,Count,People,27,64 years,Female,To-from Overseas,In
S92000003,2003,Count,People,3,85 years,Female,To-from Overseas,In
S92000003,2003,Count,People,29,63 years,Female,To-from Overseas,In
S92000003,2003,Count,People,22,62 years,Female,To-from Overseas,In
S92000003,2003,Count,People,32,60 years,Female,To-from Overseas,In
S92000003,2018,Count,People,25,71 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,20,74 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,25,69 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,26,70 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,16,73 years,Female,To-from Overseas,Out
S92000003,2016,Count,People,181,6 years,Female,To-from Overseas,In
S92000003,2018,Count,People,19,72 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,444,21 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,53,13 years,Female,To-from Overseas,Out
S92000003,2017,Count,People,91,44 years,Female,To-from Overseas,In
S92000003,2018,Count,People,62,12 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,58,14 years,Female,To-from Overseas,Out
S92000003,2018,Count,People,256,20 years,Female,To-from Overseas,Out
S92000003,2016,Count,People,261,2 years,Female,To-from Overseas,In
S92000003,2016,Count,People,211,5 years,Female,To-from Overseas,In
S92000003,2016,Count,People,123,16 years,Female,To-from Overseas,In
S92000003,2016,Count,People,303,1 year,Female,To-from Overseas,In
S92000003,2016,Count,People,20577,All,Female,To-from Overseas,In
S92000003,2016,Count,People,117,14 years,Female,To-from Overseas,In
S92000003,2016,Count,People,197,0 years,Female,To-from Overseas,In
S92000003,2016,Count,People,146,8 years,Female,To-from Overseas,In
S92000003,2016,Count,People,137,9 years,Female,To-from Overseas,In
S92000003,2016,Count,People,164,7 years,Female,To-from Overseas,In
S92000003,2016,Count,People,242,3 years,Female,To-from Overseas,In
S92000003,2016,Count,People,118,15 years,Female,To-from Overseas,In
S92000003,2016,Count,People,229,4 years,Female,To-from Overseas,In
S92000003,2017,Count,People,70,49 years,Female,To-from Overseas,In
S92000003,2017,Count,People,70,48 years,Female,To-from Overseas,In
S92000003,2017,Count,People,147,39 years,Female,To-from Overseas,In
S92000003,2017,Count,People,75,47 years,Female,To-from Overseas,In
S92000003,2017,Count,People,43,53 years,Female,To-from Overseas,In
S92000003,2017,Count,People,86,45 years,Female,To-from Overseas,In
S92000003,2017,Count,People,75,46 years,Female,To-from Overseas,In
S92000003,2017,Count,People,64,51 years,Female,To-from Overseas,In
S92000003,2017,Count,People,54,52 years,Female,To-from Overseas,In
S92000003,2017,Count,People,59,50 years,Female,To-from Overseas,In
S92000003,2017,Count,People,149,38 years,Female,To-from Overseas,In
S92000003,2017,Count,People,127,40 years,Female,To-from Overseas,In
S92000003,2017,Count,People,48,54 years,Female,To-from Overseas,In
S92000003,2017,Count,People,171,37 years,Female,To-from Overseas,In
S92000003,2017,Count,People,109,43 years,Female,To-from Overseas,In
S92000003,2017,Count,People,24,65 years,Female,To-from Overseas,In
S92000003,2017,Count,People,130,41 years,Female,To-from Overseas,In
S92000003,2017,Count,People,126,42 years,Female,To-from Overseas,In
S92000003,2017,Count,People,189,36 years,Female,To-from Overseas,In
S92000003,2017,Count,People,22,64 years,Female,To-from Overseas,In
S92000003,2017,Count,People,19,67 years,Female,To-from Overseas,In
S92000003,2017,Count,People,22,68 years,Female,To-from Overseas,In
S92000003,2017,Count,People,12,71 years,Female,To-from Overseas,In
S92000003,2017,Count,People,11,72 years,Female,To-from Overseas,In
S92000003,2017,Count,People,25,66 years,Female,To-from Overseas,In
S92000003,2003,Count,People,51,48 years,Female,To-from Overseas,In
S92000003,2003,Count,People,237,33 years,Female,To-from Overseas,In
S92000003,2003,Count,People,171,35 years,Female,To-from Overseas,In
S92000003,2003,Count,People,55,47 years,Female,To-from Overseas,In
S92000003,2003,Count,People,126,37 years,Female,To-from Overseas,In
S92000003,2018,Count,People,12,78 years,Female,To-from Overseas,Out
S92000003,2003,Count,People,194,34 years,Female,To-from Overseas,In
S92000003,2003,Count,People,119,38 years,Female,To-from Overseas,In
S92000003,2003,Count,People,104,39 years,Female,To-from Overseas,In
S92000003,2017,Count,People,1,85 years,Female,To-from Overseas,In
S92000003,2003,Count,People,74,41 years,Female,To-from Overseas,In
S92000003,2003,Count,People,155,36 years,Female,To-from Overseas,In
S92000003,2003,Count,People,111,40 years,Female,To-from Overseas,In
S92000003,2003,Count,People,230,18 years,Female,To-from Overseas,In
S92000003,2003,Count,People,492,27 years,Female,To-from Overseas,In
S92000003,2003,Count,People,129,17 years,Female,To-from Overseas,In
S92000003,2003,Count,People,382,19 years,Female,To-from Overseas,In
S92000003,2003,Count,People,7,75 years,Female,To-from Overseas,In
S92000003,2003,Count,People,6,76 years,Female,To-from Overseas,In
S92000003,2003,Count,People,569,26 years,Female,To-from Overseas,In
S92000003,2018,Count,People,69,10 years,Female,To-from Overseas,Out
S92000003,2003,Count,People,366,29 years,Female,To-from Overseas,In
